gax̌t,gax̌t<n>,gax̌t<n>,CORRECT
čūd,čū<v>><pst>,čūd<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
fukaθ-en,fukaθ<pro>><3pl>,fuk<pro>><int>><3pl>/fukaθ<pro>><3pl>/fukaϑ<pro>><3pl>,CORRECT
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
koringi,koringi<n>,koringi<n>,CORRECT
naqli,naqli<n>,naql<n>><3sg>/naqli<n>,CORRECT
atā,atā<cnj><advs>,atā<conj><advs>,FAIL
wev-i,wev<dem><d3><pl><obl>><3sg>,wev<dem><d3><pl><obl>><3sg>,CORRECT
zox̌t,zox̌<v>><pst>,zox̌t<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
nům,nům<n>,nům<n>,CORRECT
x̌ār,x̌ār<n>,x̌ār<adj>/x̌ār<n>,CORRECT
tūyd,tūy<v><m>><pst>,tūyd<v><pst>/tūyd<v><pst><m>,FAIL
yamand,yam<dem><d1><sg>><loc>,yam<dem><d1><sg>><loc>/yam<n>><loc>/yam<pro>><loc>,CORRECT
wev,wev<dem><d3><pl><obl>,wev<dem><d3><pl><obl>,CORRECT
qati,qati<post><com>,qat<v><pst><f>><3sg>,FAIL
xilwat-aθ,xilwat<n>><adv>,xilwat<adj>><int>,FAIL
xalq,xalq<n>,xalq<n>,CORRECT
di-yi,di<dem><d2><m><sg><obl>><3sg>,di<dem><d2><m><sg><obl>><3sg>/di<pro>><3sg>/di<v><imp>><3sg>/di<v><prs>><2sg>/di<v><prs>><3sg>,CORRECT
fāmt,fām<v>><pst>,fām<v><prs>><2sg>/fām<v><prs>><3sg>/fāmt<v><inf>/fāmt<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
wev,wev<dem><d3><pl><obl>,wev<dem><d3><pl><obl>,CORRECT
dām-ti,dām<post>><sup>,dām<n>><2sg>><3sg>/dām<n>><sup>/dām<v><prs>><2sg>><3sg>,FAIL
sut,su<v><m>><pst>,sut<v><pst>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
mardum-i,mardum<n>><3sg>,mard<adj>><1sg>><3sg>/mard<n>><1sg>><3sg>/mardum<n>><3sg>,CORRECT
bašānd-aθ,bašānd<n>><adv>,bašānd<adj>><int>,FAIL
qabūl,qabūl<n>,qabūl<n>,CORRECT
čūd,čū<v>><pst>,čūd<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
xuδoy,xuδoy<n><god>,xuðoy<n>/xuδoy<n>,FAIL
wev-ard,wev<dem><d3><pl><obl>><dat>,wev<dem><d3><pl>><dat>,FAIL
naqli,naqli<n>,naql<n>><3sg>/naqli<n>,CORRECT
čūd,čū<v>><pst>,čūd<v><pst>,FAIL
at,at<cnj><coord2>,at<conj><coord2>,FAIL
ar,ar<pro>,ar<n>/ar<prep>/ar<pro>,CORRECT
čāy,čāy<pro>,čāy<n>/čāy<pro>,CORRECT
bemor,bemor<n>,<without><adj>>mor<n>/bemor<adj>,FAIL
ca,ca<cnj><subd>,ca<conj><subd>/ca<n>/ca<pro>,FAIL
vud,vu<v><m>><pst>,vud<v><pst>,FAIL
wi-yi,wi<dem><d3><m><sg><obl>><3sg>,wi<dem><d3><m><sg><obl>><3sg>,CORRECT
xub,xub<n>,xub<n>,CORRECT
čūd,čū<v>><pst>,čūd<v><pst>,FAIL
meθ,meθ<n>,meθ<n>/meϑ<n>,CORRECT
vegā,vegā<n>,vegā<n>,CORRECT
daraw,daraw<prt><inch>,daraw<n>,FAIL
sid,si<v>><inf>,sid<v><inf>/sid<v><pst>,FAIL
vad,va<v><f/pl>><pst>,vad<v><pst><f>,FAIL
atā,atā<cnj><advs>,atā<conj><advs>,FAIL
duwozdā,duwozdā<num>,duwozdā<num>,CORRECT
yat,ya<v>><pst>,ya<v><imp>><2sg>/yat<v><inf>/yat<v><pst>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
xez,xez<post><apud>,xez<adj>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
lůd-en,lů<v>><pst>><3pl>,lůd<v><imp>><3pl>,FAIL
di,di<dem><d2><m><sg><obl>,di<conj><when>/di<dem><d2><m><sg><obl>/di<pro>/di<v><imp>/di<v><prs>,CORRECT
mardum,mardum<n>,mard<adj>><1sg>/mard<n>><1sg>/mardum<n>,CORRECT
šič,šič<prt>,šič<adj>,FAIL
lāk,lāk<v>,lāk<conj><let>/lāk<n>/lāk<v><prs>,FAIL
sen,s<v>><prs><3pl>,sen<v><prs>,FAIL
tar,tar<prep><eq>,tar<prep>,FAIL
dev,dev<dem><d2><pl><obl>,dev<dem><d2><pl><obl>/dev<pro>,CORRECT
atrof,atrof<prep>,atrof<n>,FAIL
qišloqen,qišloq<n>><pl>,qišloq<n>><3pl>/qišloq<n>><pl>,CORRECT
at,at<cnj><coord2>,at<conj><coord2>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
atā,atā<cnj><advs>,atā<conj><advs>,FAIL
xurok,xurok<n>,xurok<n>,CORRECT
xu-rd,xu<pro><refl>><dat>,xu<pro><refl>><dat>,CORRECT
x̌ikaren,x̌ikar<v>><prs><3pl>,x̌ikar<v><prs>><3pl>,FAIL
māš-and,māš<pers><prn><1pl>><loc>,māš<pers><1pl>><loc>,FAIL
biyābůn,biyābůn<n>,biyābůn<adj>/biyābůn<n>,CORRECT
ǰoy,ǰoy<n>,ǰoy<n>/ǰoy<n>,CORRECT
atā,atā<cnj><advs>,atā<conj><advs>,FAIL
wev-ard-i,wev<dem><d3><pl><obl>><dat>><3sg>,wev<dem><d3><pl>><dat>><3sg>,FAIL
lůd,lů<v>><pst>,lůd<v><imp>,FAIL
tama,tama<pers><prn><2pl>,tama<pers><2pl><nom>/tama<pers><2pl><obl>,FAIL
dev-ard,dev<dem><d2><pl><obl>><dat>,dev<dem><d2><pl>><dat>/dev<pro>><dat>,FAIL
awqot,awqot<n>,awqot<n>,CORRECT
māš-and,māš<pers><prn><1pl>><loc>,māš<pers><1pl>><loc>,FAIL
yi-čīz-aθ,yi<pro><indef>><thing>><int>,yičīzaθ<pro>/yičīzaϑ<pro>/yičīz<pro>><int>/yi-čīz<pro>><int>/yi<adj>>чӣз<n>><int>,FAIL
nist,nist<v><neg>,nist<v><prs>,FAIL
as,as<prep><el>,as<prep>,FAIL
garδā,garδā<n>,garðā<n>/garδā<n>,CORRECT
atā,atā<cnj><advs>,atā<conj><advs>,FAIL
δiyůn,δiyůn<num>,ðiyůn<n>/δiyůn<n>,FAIL
moyi,moyi<n>,mo<n>><3sg>/mo<pro>><3sg>/moyi<n>,CORRECT
ǰiwob,ǰiwob<n>,ǰiwob<n>/ǰiwob<n>,CORRECT
δod,δo<v>><pst>,ðod<v><pst>/δod<v><pst>,FAIL
baɣer,baɣer<n>,<with><adj>>ɣer<n>,FAIL
māš,māš<pers><prn><1pl>,māš<pers><1pl><nom>/māš<pers><1pl><obl>,FAIL
xubaθ,xubaθ<pro>,xub<n>><int>/xubaθ<n>/xubaϑ<n>/xubaθ<pro><self>/xubaϑ<pro><self>,FAIL
sāwām,sāw<v>><prs><1pl>,sāw<n>><1pl>/sāw<v><imp>><1pl>/sāw<v><prs>><1pl>,FAIL
dev-ard,dev<dem><d2><pl><obl>><dat>,dev<dem><d2><pl>><dat>/dev<pro>><dat>,FAIL
awqotwori,awqotwori<n>,awqotwori<n>,CORRECT
xarīd-ām,xarīd<v>><1pl>,xarīd<n>><1pl>,FAIL
fukaki,fukaki<pro>,fuk<pro>><dim>><3sg>,FAIL
yamand,yam<dem><d1><sg>><loc>,yam<dem><d1><sg>><loc>/yam<n>><loc>/yam<pro>><loc>,CORRECT
qarīb,qarīb<n>,qarīb<adj>,FAIL
azor,azor<num>,azor<num>,CORRECT
odam,odam<n>,odam<n>,CORRECT
vud,vu<v><m>><pst>,vud<v><pst>,FAIL
atā,atā<cnj><advs>,atā<conj><advs>,FAIL
lůd-i,lů<v>><pst>><3sg>,lůd<v><imp>><3sg>,FAIL
nafari,nafar<n>><distr>,nafar<n>><3sg>,FAIL
dev,dev<dem><d2><pl><obl>,dev<dem><d2><pl><obl>/dev<pro>,CORRECT
