yakumaθ,yak<num>><-ord>><-adv>,yakum<adj>><int>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
taraf,taraf<n>,taraf<n>,CORRECT
farq,farq<n>,farq<n>,CORRECT
yāni,yāni<cnj>,yān<v><prs>><2sg>/yān<v><prs>><3sg>,FAIL
dev,dev<dem><d2><pl><obl>,dev<dem><d2><pl><obl>/dev<pro>,CORRECT
kalamoti,kalamot<n><pl>><=ez>,kal<adj>>амо<n>><2sg>><3sg>,FAIL
istifodā,istifodā<n>,istifodā<n>,CORRECT
mi,mi<dem><d1><m><sg><obl>,mi<dem><d1><m><sg><obl>/mi<pro>,CORRECT
dev,dev<dem><d2><pl><obl>,dev<dem><d2><pl><obl>/dev<pro>,CORRECT
istifodā,istifodā<n>,istifodā<n>,CORRECT
kalamoten,kalamot<n><pl>><-pl>,kal<adj>>амо<n>><2sg>><3pl>,FAIL
istifodā,istifodā<n>,istifodā<n>,CORRECT
istifodā,istifodā<n>,istifodā<n>,CORRECT
bozi,bozi<n>,boz<n>><3sg>/boz<v><prs>><2sg>/boz<v><prs>><3sg>/bozi<n>,CORRECT
čīd,čīd<n>,čīd<n>/čīd<v><inf>/čīd<v><pst>,CORRECT
qati,qati<post><com>,qat<v><pst><f>><3sg>,FAIL
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
gāp,gāp<n>,gāp<n>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
farq,farq<n>,farq<n>,CORRECT
ar,ar<pro>,ar<n>/ar<prep>/ar<pro>,CORRECT
di,di<dem><d2><m><sg><obl>,di<conj><when>/di<dem><d2><m><sg><obl>/di<pro>/di<v><imp>/di<v><prs>,CORRECT
wev,wev<dem><d3><pl><obl>,wev<dem><d3><pl><obl>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
mi,mi<dem><d1><m><sg><obl>,mi<dem><d1><m><sg><obl>/mi<pro>,CORRECT
taraf,taraf<n>,taraf<n>,CORRECT
odam,odam<n>,odam<n>,CORRECT
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
wi,wi<dem><d3><m><sg><obl>,wi<dem><d3><m><sg><obl>,CORRECT
nazar,nazar<n>,nazar<n>,CORRECT
odam,odam<n>,odam<n>,CORRECT
sof,sof<n>,sof<n>,CORRECT
čīz,čīz<pro>,čīz<pro>/čīz<n>/čīz<pro>,CORRECT
mi,mi<dem><d1><m><sg><obl>,mi<dem><d1><m><sg><obl>/mi<pro>,CORRECT
mardum,mardum<n>,mard<adj>><1sg>/mard<n>><1sg>/mardum<n>,CORRECT
qati,qati<post><com>,qat<v><pst><f>><3sg>,FAIL
